Noise_Type,SNR_dB,Avg_STOI_In,Avg_STOI_Base,Avg_STOI_BaseVAD,Avg_STOI_Leaky,Avg_STOI_HardVAD,Avg_STOI_SoftVAD
techno_1389887,-15,0.8213,0.8935,0.8731,0.8368,0.8345,0.8351
techno_1389887,-10,0.8926,0.9370,0.9259,0.9032,0.9005,0.9021
techno_1389887,-5,0.9429,0.9572,0.9551,0.9466,0.9454,0.9471
techno_1389887,0,0.9724,0.9568,0.9672,0.9654,0.9691,0.9711
techno_1389887,5,0.9880,0.9392,0.9715,0.9627,0.9795,0.9801
jazz_01_jazz.00016,-15,0.7642,0.9265,0.9265,0.8262,0.8262,0.8246
jazz_01_jazz.00016,-10,0.8496,0.9565,0.9565,0.9007,0.9007,0.9002
jazz_01_jazz.00016,-5,0.9194,0.9641,0.9642,0.9449,0.9448,0.9469
jazz_01_jazz.00016,0,0.9625,0.9547,0.9655,0.9610,0.9645,0.9691
jazz_01_jazz.00016,5,0.9840,0.9319,0.9658,0.9564,0.9746,0.9761
rock_01_rock.00011,-15,0.7519,0.8765,0.8765,0.7807,0.7807,0.7796
rock_01_rock.00011,-10,0.8329,0.9241,0.9241,0.8575,0.8575,0.8570
rock_01_rock.00011,-5,0.8988,0.9475,0.9474,0.9137,0.9137,0.9149
rock_01_rock.00011,0,0.9430,0.9517,0.9507,0.9436,0.9402,0.9484
rock_01_rock.00011,5,0.9702,0.9406,0.9554,0.9513,0.9597,0.9646
