Noise_Type,SNR_dB,Avg_STOI_In,Avg_STOI_Out,Improvement
techno_1389887,-15,0.7911,0.9125,0.1214
techno_1389887,-10,0.8675,0.9494,0.0819
techno_1389887,-5,0.9265,0.9693,0.0428
techno_1389887,0,0.9632,0.9788,0.0156
techno_1389887,5,0.9834,0.9829,-0.0005
techno_1389887,10,0.9930,0.9843,-0.0087
jazz_01_jazz.00016,-15,0.7322,0.9299,0.1977
jazz_01_jazz.00016,-10,0.8169,0.9586,0.1417
jazz_01_jazz.00016,-5,0.8953,0.9714,0.0762
jazz_01_jazz.00016,0,0.9487,0.9763,0.0276
jazz_01_jazz.00016,5,0.9775,0.9779,0.0004
jazz_01_jazz.00016,10,0.9908,0.9785,-0.0123
rock_01_rock.00011,-15,0.7211,0.8985,0.1774
rock_01_rock.00011,-10,0.8024,0.9342,0.1317
rock_01_rock.00011,-5,0.8759,0.9527,0.0768
rock_01_rock.00011,0,0.9282,0.9611,0.0329
rock_01_rock.00011,5,0.9613,0.9645,0.0032
rock_01_rock.00011,10,0.9809,0.9657,-0.0151
